Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
000000      21    No     00000005-0000002A       26
000028      11    Yes    0000002B-00000032        8
000040      1F    No     00000033-00000056       24
0000BE      3B    No     00000057-00000096       40
000100       4    No     00000097-0000009F        9
000143       4    No     000000A0-000000A8        9
00014D       3    No     000000A9-000000B0        8
0003A4       1    No     000000B1-000000B6        6
0003B4       1    No     000000B7-000000BC        6
0003DF       4    No     000000BD-000000C5        9
0003EA       1    No     000000C6-000000CB        6
0003F2       1    No     000000CC-000000D1        6
000400       7    No     000000D2-000000DD        C
000420       1    No     000000DE-000000E3        6
000467       6    No     000000E4-000000EE        B
000480       4    No     000000EF-000000F7        9
000497       2    No     000000F8-000000FE        7
0004AA       1    No     000000FF-00000104        6
0004D3       1    No     00000105-0000010A        6
000585       1    No     0000010B-00000110        6
0005C2       4    No     00000111-00000119        9
000610       1    No     0000011A-0000011F        6
000623       1    No     00000120-00000125        6
00066A       1    No     00000126-0000012B        6
000673       2    No     0000012C-00000132        7
00068B       1    No     00000133-00000138        6
00069C       1    No     00000139-0000013E        6
0006E1       1    No     0000013F-00000144        6
000769       1    No     00000145-0000014A        6
00077F       1    No     0000014B-00000150        6
0008B1       6    No     00000151-0000015B        B
0008BE       1    No     0000015C-00000161        6
0008D7       1    No     00000162-00000167        6
0008DF       1    No     00000168-0000016D        6
00091D       1    No     0000016E-00000173        6
000925       1    No     00000174-00000179        6
00092C       7    No     0000017A-00000185        C
00094C       1    No     00000186-0000018B        6
00095A       1    No     0000018C-00000191        6
000966       4    No     00000192-0000019A        9
000995       1    No     0000019B-000001A0        6
000B2F       1    No     000001A1-000001A6        6
000B5B       1    No     000001A7-000001AC        6
000C0A       1    No     000001AD-000001B2        6
000C13       1    No     000001B3-000001B8        6
000C2E       1    No     000001B9-000001BE        6
000C38       1    No     000001BF-000001C4        6
000FD4       1    No     000001C5-000001CA        6
000FFF       1    No     000001CB-000001D0        6
00100E       1    No     000001D1-000001D6        6
001021       4    No     000001D7-000001DF        9
001030       B    No     000001E0-000001EF       10
00107F       4    No     000001F0-000001F8        9
0011FB       1    No     000001F9-000001FE        6
001203       1    No     000001FF-00000204        6
001261       1    No     00000205-0000020A        6
00126C       1    No     0000020B-00000210        6
001277      2E    No     00000211-00000243       33
0012A5      17    Yes    00000244-0000024B        8
0012C4       1    No     0000024C-00000251        6
0012CE       1    No     00000252-00000257        6
0012F3       C    No     00000258-00000268       11
001378       1    No     00000269-0000026E        6
001397       1    No     0000026F-00000274        6
0013D4       5    No     00000275-0000027E        A
0013E6       1    No     0000027F-00000284        6
0013F3       1    No     00000285-0000028A        6
001403       1    No     0000028B-00000290        6
001423       4    No     00000291-00000299        9
001465       4    No     0000029A-000002A2        9
0014A3       6    No     000002A3-000002AD        B
0014B6       1    No     000002AE-000002B3        6
0014D0       1    No     000002B4-000002B9        6
0014DF       1    No     000002BA-000002BF        6
00152C       1    No     000002C0-000002C5        6
00154F       2    No     000002C6-000002CC        7
001558       9    No     000002CD-000002DA        E
00156E       1    No     000002DB-000002E0        6
00157B       1    No     000002E1-000002E6        6
0015BD       1    No     000002E7-000002EC        6
001600       1    No     000002ED-000002F2        6
00161C       1    No     000002F3-000002F8        6
001636      17    No     000002F9-00000314       1C
00164D      18    Yes    00000315-0000031C        8
00186C       1    No     0000031D-00000322        6
00187E       1    No     00000323-00000328        6
0018AA       1    No     00000329-0000032E        6
0018BC       1    No     0000032F-00000334        6
0018E2       1    No     00000335-0000033A        6
0018EE       1    No     0000033B-00000340        6
0018FA       1    No     00000341-00000346        6
001920       1    No     00000347-0000034C        6
0019E6       1    No     0000034D-00000352        6
001AA6       1    No     00000353-00000358        6
001ABE       1    No     00000359-0000035E        6
001ACC       2    No     0000035F-00000365        7
001ADF       1    No     00000366-0000036B        6
001AED       2    No     0000036C-00000372        7
001B02       1    No     00000373-00000378        6
001B34       1    No     00000379-0000037E        6
001B3C       1    No     0000037F-00000384        6
001BDB       1    No     00000385-0000038A        6
001C15       1    No     0000038B-00000390        6
001C2A       2    No     00000391-00000397        7
001C4F       5    No     00000398-000003A1        A
001C8F       2    No     000003A2-000003A8        7
001C9C       1    No     000003A9-000003AE        6
001D0B      2C    No     000003AF-000003DF       31
001D37      A2    Yes    000003E0-000003E7        8
001DD9       8    No     000003E8-000003F4        D
001E01       1    No     000003F5-000003FA        6
001F4D       7    No     000003FB-00000406        C
001F92       1    No     00000407-0000040C        6
001FD7       1    No     0000040D-00000412        6
001FEF       1    No     00000413-00000418        6
001FF8       1    No     00000419-0000041E        6
00200C       1    No     0000041F-00000424        6
002022       1    No     00000425-0000042A        6
002040       1    No     0000042B-00000430        6
00204F      11    No     00000431-00000446       16
002071    1F36    No     00000447-00002381     1F3B
0040CF       1    No     00002382-00002387        6
0040EE       1    No     00002388-0000238D        6
004110      57    No     0000238E-000023E9       5C
004167      F4    Yes    000023EA-000023F1        8
004266       4    No     000023F2-000023FA        9
004276       1    No     000023FB-00002400        6
0042A1       6    No     00002401-0000240B        B
0042DE       1    No     0000240C-00002411        6
0042F8       1    No     00002412-00002417        6
004390       5    No     00002418-00002421        A
0043A6       9    No     00002422-0000242F        E
0043B7       4    No     00002430-00002438        9
0043D2       1    No     00002439-0000243E        6
0043EB       1    No     0000243F-00002444        6
0043F5       B    No     00002445-00002454       10
004424       B    No     00002455-00002464       10
004435       1    No     00002465-0000246A        6
004452       1    No     0000246B-00002470        6
004460       4    No     00002471-00002479        9
00447C       4    No     0000247A-00002482        9
004494       1    No     00002483-00002488        6
00449C       1    No     00002489-0000248E        6
0044B9       6    No     0000248F-00002499        B
0044C9       1    No     0000249A-0000249F        6
004522       1    No     000024A0-000024A5        6
004536       1    No     000024A6-000024AB        6
00453F       1    No     000024AC-000024B1        6
0045CD       1    No     000024B2-000024B7        6
0045FD       1    No     000024B8-000024BD        6
004BA3       3    No     000024BE-000024C5        8
004C26       2    No     000024C6-000024CC        7
004DA7       1    No     000024CD-000024D2        6
004DCC       2    No     000024D3-000024D9        7
004DD6       1    No     000024DA-000024DF        6
004DE2       2    No     000024E0-000024E6        7
004E07       2    No     000024E7-000024ED        7
